sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,asphalt,brick,transition
2,1775669100512,1919,-2948,11572,4569271,-970053,-1782504,0,0,0,308,441,229,327,403,337,317,276,247,176,158,263,0,,,
1,1775669100528,-1789,2167,9605,-45204,-25656,-1221,0,0,0,335,311,285,366,195,307,506,432,296,429,461,131,0,,,
2,1775669100528,2077,-2967,10040,4170987,-1050688,-1869247,0,0,0,249,421,229,310,350,336,305,276,231,187,207,214,0,,,
1,1775669100544,-1775,2148,9566,-34208,-18325,0,0,0,0,335,311,293,361,199,318,505,438,304,430,466,138,0,,,
2,1775669100544,1430,-1957,8442,3418401,-1350012,-1897347,0,0,0,246,420,234,309,346,341,312,277,240,187,212,207,0,,,
1,1775669100560,-1761,2167,9581,-17104,-19547,0,0,0,0,333,315,295,355,200,319,508,438,312,429,469,147,0,,,
2,1775669100560,3814,3172,6369,2023185,-1503950,-1606575,0,0,0,247,421,236,287,374,330,311,274,239,187,208,208,0,,,
1,1775669100576,-1761,2177,9624,2443,-36651,0,0,0,0,331,324,297,355,201,324,510,439,314,433,474,155,0,,,
2,1775669100576,6585,7992,6331,138055,-513126,-660956,0,0,0,244,422,236,302,352,340,311,275,242,187,207,209,0,,,
1,1775669100592,-1770,2158,9662,15882,-54977,1221,0,0,0,331,339,301,354,214,331,510,442,316,438,476,156,0,,,
2,1775669100592,6556,7092,6728,-1276708,262672,410501,0,0,0,238,421,232,310,347,345,313,278,246,190,212,210,0,,,
1,1775669100608,-1785,2129,9686,23212,-73303,3665,0,0,0,333,344,307,349,223,334,511,444,324,436,473,154,0,,,
2,1775669100608,5881,2751,6360,-1875356,496022,1088561,0,0,0,239,423,239,307,346,343,311,278,245,196,212,206,0,,,
1,1775669100624,-1799,2124,9662,24434,-87964,4886,0,0,0,338,332,309,352,215,332,510,448,329,436,472,153,0,,,
2,1775669100624,5173,1579,6479,-2017077,642630,1130100,0,0,0,240,424,244,307,346,344,310,278,243,195,214,206,0,,,
1,1775669100640,-1804,2110,9585,14660,-97738,2443,0,0,0,347,336,296,351,215,322,510,454,322,443,474,149,0,,,
2,1775669100640,4297,3531,7169,-2381152,813672,1077566,0,0,0,237,422,239,311,349,348,313,281,245,190,218,209,0,,,
1,1775669100656,-1809,2110,9562,1221,-105068,0,0,0,0,358,343,277,349,217,306,512,455,317,434,484,141,0,,,
2,1775669100656,3809,4737,7609,-3038443,1003040,1143539,0,0,0,235,423,236,312,350,349,315,283,246,191,218,208,0,,,
1,1775669100672,-1813,2129,9581,-2443,-112399,0,0,0,0,348,338,267,353,209,305,516,462,313,430,481,133,0,,,
2,1775669100672,3259,4082,7982,-3600439,1291369,1178969,0,0,0,234,423,235,311,349,348,314,283,244,191,218,208,0,,,
1,1775669100688,-1818,2144,9585,0,-125838,0,0,0,0,341,329,283,355,209,313,527,453,329,437,483,146,0,,,
2,1775669100688,2426,2708,8580,-3606548,1574810,1081231,0,0,0,233,423,237,311,350,350,316,287,246,191,219,207,0,,,
1,1775669100704,-1847,2139,9581,4886,-138055,3665,0,0,0,341,329,266,352,210,308,525,452,327,435,483,139,0,,,
2,1775669100704,1095,2689,9892,-3412293,1776396,915076,0,0,0,231,422,234,312,350,350,317,287,246,190,219,207,0,,,
1,1775669100720,-1871,2134,9538,4886,-145385,7330,0,0,0,341,330,259,352,211,305,529,459,323,433,483,132,0,,,
