sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,brick
1,1775671632320,-2311,1139,10059,412944,-185703,61086,0,0,0,333,336,277,383,243,404,548,426,359,402,387,320,0,
2,1775671632320,7355,3689,5967,-5793445,-790459,801455,0,0,0,269,434,237,340,371,379,323,292,259,170,210,195,0,
1,1775671632336,-2330,1033,9810,456927,-206472,63529,0,0,0,330,338,272,379,246,402,546,413,357,393,376,329,0,
2,1775671632336,5513,3484,5278,-5222897,-224798,-4886,0,0,0,264,435,239,341,372,381,325,296,260,174,211,195,0,
1,1775671632352,-2397,823,9585,459370,-201585,65973,0,0,0,328,341,268,380,248,411,544,405,360,382,364,343,0,
2,1775671632352,4670,4044,6302,-5401270,-56199,-283441,0,0,0,261,435,235,339,373,381,325,297,260,174,212,195,0,
1,1775671632368,-2474,622,9437,406836,-155159,74525,0,0,0,331,344,270,384,251,411,539,392,366,371,353,349,0,
2,1775671632368,4379,4321,7781,-5816658,184481,-367740,0,0,0,262,436,237,339,374,381,321,298,258,171,211,191,0,
1,1775671632384,-2464,588,9428,345749,-101403,81855,0,0,0,336,345,271,386,254,408,535,379,368,366,343,351,0,
2,1775671632384,4173,4335,9011,-6136752,608421,-224798,0,0,0,266,437,238,340,372,379,325,301,260,174,215,192,0,
1,1775671632400,-2412,603,9480,298102,-59864,89186,0,0,0,337,344,267,389,257,412,532,368,369,362,332,355,0,
2,1775671632400,3756,4211,10256,-6213721,1131322,212581,0,0,0,267,438,239,340,371,378,314,302,264,173,213,190,0,
1,1775671632416,-2364,641,9542,276111,-36651,91629,0,0,0,335,346,264,394,260,415,531,354,371,360,321,361,0,
2,1775671632416,3488,4125,11787,-6267477,1495398,756251,0,0,0,264,437,239,340,371,380,320,301,261,173,212,190,0,
1,1775671632432,-2325,650,9576,262672,-13439,91629,0,0,0,335,348,263,396,263,418,534,347,371,360,315,371,0,
2,1775671632432,3766,4034,13725,-6444628,1778839,1318247,0,0,0,262,437,239,341,372,383,328,302,260,175,215,192,0,
1,1775671632448,-2311,603,9624,272445,3665,90408,0,0,0,338,344,267,397,261,421,533,342,373,356,315,384,0,
2,1775671632448,4178,3689,16199,-6730513,2098932,1663996,0,0,0,262,437,240,343,374,384,330,304,263,178,218,193,0,
1,1775671632464,-2273,550,9696,298102,1221,90408,0,0,0,343,350,271,404,252,436,534,325,376,351,294,392,0,
2,1775671632464,4120,3096,19119,-6966307,2296853,1797165,0,0,0,262,438,242,342,374,383,328,302,263,177,216,192,0,
1,1775671632480,-2239,488,9758,327423,-32986,97738,0,0,0,350,355,266,425,264,428,534,325,382,365,287,404,0,
2,1775671632480,4211,2455,22383,-7083593,2252871,1794722,0,0,0,262,437,241,341,374,381,327,301,262,176,214,191,0,
1,1775671632496,-2359,440,9806,368962,-101403,122173,0,0,0,358,356,258,447,274,436,534,299,370,362,272,418,0,
2,1775671632496,4924,1981,26341,-7149566,2191784,1786169,0,0,0,260,436,241,342,373,381,334,303,267,178,213,192,0,
1,1775671632512,-2502,406,9825,425162,-152716,164933,0,0,0,358,355,263,432,265,445,536,285,385,343,258,433,0,
2,1775671632512,6030,770,30887,-7226535,2213775,1833817,0,0,0,262,436,240,342,371,381,336,300,272,178,209,191,0,
1,1775671632528,-2522,354,9863,499687,-190589,218689,0,0,0,367,355,268,432,273,457,530,273,401,330,253,456,0,
2,1775671632528,6609,-4704,34031,-7294952,2480112,2013411,0,0,0,264,435,239,345,372,383,338,296,270,184,207,193,0,
1,1775671632544,-2493,306,10074,607200,-230907,267558,0,0,0,376,358,275,440,281,468,521,256,417,321,232,479,0,
2,1775671632544,4972,-14132,35266,-7031058,3011565,2172236,0,0,0,264,434,237,347,373,391,341,296,281,181,206,191,0,
1,1775671632560,-2550,234,10303,740368,-273667,305432,0,0,0,371,364,265,444,284,483,510,242,415,303,209,507,0,
2,1775671632560,1545,-29241,32505,-5899736,2915048,1974316,0,0,0,266,434,237,347,371,391,344,298,282,186,208,193,0,
1,1775671632576,-2589,86,10519,901637,-334754,343306,0,0,0,371,374,250,445,307,496,500,247,414,285,209,527,0,
2,1775671632576,-1277,-42813,24790,-4190535,2238210,1106887,0,0,0,268,434,238,347,369,392,348,301,284,191,211,195,0,
1,1775671632592,-2526,-9,11074,1075122,-411723,360410,0,0,0,373,388,241,449,332,512,488,248,433,274,208,544,0,
2,1775671632592,-5833,-50681,17324,-2188119,1617571,-481361,0,0,0,268,435,239,352,376,397,345,300,285,189,211,196,0,
1,1775671632608,-2412,0,12031,1362229,-510683,344527,0,0,0,383,396,239,457,333,528,466,235,452,272,195,558,0,
2,1775671632608,-11663,-49485,16511,-211359,671951,-1898569,0,0,0,255,431,238,351,381,395,369,384,280,137,167,184,0,
1,1775671632624,-2282,0,12534,1690874,-593761,315206,0,0,0,397,398,232,468,330,536,438,219,451,273,185,563,0,
2,1775671632624,-12892,-36247,20813,1596801,-801455,-2074498,0,0,0,244,409,209,350,372,376,421,449,267,151,200,179,0,
1,1775671632640,-2550,-100,12787,2057394,-663399,294437,0,0,0,380,406,213,480,352,545,412,199,456,267,166,577,0,
2,1775671632640,-3637,2014,21359,3065321,-3225368,-569326,0,0,0,247,380,188,340,348,368,457,476,265,164,238,176,0,
1,1775671632656,-3785,-253,13266,2568077,-665843,392175,0,0,0,382,397,200,477,352,539,354,185,469,265,157,591,0,
2,1775671632656,5498,21746,12730,3689626,-4466646,1003040,0,0,0,257,370,182,341,337,370,480,487,274,178,269,177,0,
1,1775671632672,-4804,-378,13993,3149621,-577878,615752,0,0,0,408,406,211,463,355,538,305,177,467,254,146,583,0,
2,1775671632672,3287,9667,8212,4605923,-3435506,1777617,0,0,0,262,375,185,351,338,379,499,500,284,196,295,182,0,
1,1775671632688,-5546,-224,15080,3881437,-382401,959058,0,0,0,411,423,242,441,350,533,222,157,442,207,127,578,0,
2,1775671632688,-6771,-4048,18535,5244888,-1150870,1176526,0,0,0,262,384,201,358,342,391,514,514,296,218,322,188,0,
1,1775671632704,-6307,-62,16597,4620584,-191811,1318247,0,0,0,421,387,225,419,346,503,202,148,434,191,108,534,0,
2,1775671632704,-6992,-2507,24039,4510628,-315206,-103847,0,0,0,265,395,229,365,351,405,526,525,307,231,344,195,0,
1,1775671632720,-7681,-186,19856,5512447,-74525,1740965,0,0,0,430,373,233,410,333,492,241,136,420,190,105,481,0,
2,1775671632720,1287,2450,19583,3044552,-298102,-735481,0,0,0,276,412,265,377,367,419,534,533,312,223,344,208,0,
1,1775671632736,-10031,-311,23713,6357885,-10995,2172236,0,0,0,393,361,208,383,307,453,205,131,387,169,94,391,0,
2,1775671632736,3814,1665,12758,1791056,-146607,-34208,0,0,0,295,438,301,393,382,431,544,543,316,235,341,232,0,
1,1775671632752,-11304,-727,26958,7078706,160046,2627942,0,0,0,335,348,203,351,288,422,192,145,354,142,91,308,0,
2,1775671632752,1899,186,10375,982271,-116064,375071,0,0,0,323,452,317,407,389,436,547,547,317,273,341,253,0,
1,1775671632768,-10184,19,29279,7692015,421497,3056769,0,0,0,276,324,195,312,263,368,218,183,317,136,129,232,0,
2,1775671632768,727,162,10729,480140,-251676,254119,0,0,0,341,460,326,415,394,444,554,553,316,245,334,271,0,
1,1775671632784,-9638,1880,29509,8056090,742812,3257133,0,0,0,246,289,204,271,212,307,273,223,289,149,178,160,0,
2,1775671632784,904,928,10643,188146,-360410,72082,0,0,0,360,467,337,421,394,446,558,557,320,255,338,284,0,
1,1775671632800,-11806,6585,24244,8283332,1102000,3368310,0,0,0,242,268,234,249,171,288,313,243,284,160,207,126,0,
2,1775671632800,1076,1469,10198,81855,-355523,13439,0,0,0,363,468,332,421,395,445,559,558,320,256,343,286,0,
1,1775671632816,-13414,12735,14438,7915591,1098335,3621209,0,0,0,240,276,240,253,180,301,309,251,292,159,218,135,0,
2,1775671632816,890,1541,10203,46425,-232128,17104,0,0,0,367,471,332,419,395,445,561,562,319,256,339,288,0,
1,1775671632832,-10366,16515,9901,5376835,746477,3417180,0,0,0,240,287,224,258,188,295,309,254,284,158,218,133,0,
2,1775671632832,847,1569,10289,54977,-138055,4886,0,0,0,374,473,338,421,397,446,562,563,318,254,336,289,0,
1,1775671632848,-5168,19234,10126,768468,662177,1787391,0,0,0,239,290,225,255,190,297,310,256,281,158,220,132,0,
2,1775671632848,847,1670,10232,111177,-75747,-17104,0,0,0,374,474,335,425,403,454,558,559,326,251,318,298,0,
1,1775671632864,-2967,15659,10126,-3408628,1554041,-602313,0,0,0,238,289,221,261,190,299,314,257,281,162,219,132,0,
2,1775671632864,832,1765,10126,195476,-12217,-28099,0,0,0,378,478,337,424,404,459,559,557,327,248,300,306,0,
1,1775671632880,-5039,9758,7508,-4806287,2256536,-1599245,0,0,0,238,290,223,262,187,295,320,259,282,166,216,132,0,
2,1775671632880,861,1780,10035,293215,47647,-23212,0,0,0,381,479,338,424,403,460,562,552,327,247,298,311,0,
1,1775671632896,-8102,5876,4436,-4552167,1645670,-1071457,0,0,0,229,296,227,256,194,301,314,260,282,163,227,134,0,
2,1775671632896,966,1660,9959,376292,76969,-9773,0,0,0,388,479,339,425,403,461,562,539,327,248,293,319,0,
1,1775671632912,-8016,4929,3933,-4405560,404392,-234572,0,0,0,229,294,224,255,196,300,316,261,283,164,228,134,0,
2,1775671632912,1086,1517,9897,419053,62308,-1221,0,0,0,399,485,342,430,403,461,557,528,330,246,274,328,0,
1,1775671632928,-5527,5312,5704,-4731762,-310319,218689,0,0,0,229,298,227,255,197,300,320,266,285,166,231,134,0,
2,1775671632928,1148,1402,9849,430049,13439,-4886,0,0,0,405,489,341,436,406,465,552,522,335,254,263,337,0,
1,1775671632944,-4340,5245,7724,-5369505,-180816,123394,0,0,0,228,298,240,254,196,307,319,265,288,164,231,139,0,
2,1775671632944,1167,1316,9815,428827,-40317,-15882,0,0,0,412,487,340,441,410,470,557,504,333,270,260,354,0,
1,1775671632960,-4962,4575,9188,-5962044,-138055,-152716,0,0,0,228,298,236,252,196,304,316,263,284,166,232,137,0,
2,1775671632960,1148,1296,9834,421497,-84299,-36651,0,0,0,422,490,341,442,407,474,557,486,335,241,216,375,0,
1,1775671632976,-5690,3651,10461,-6318790,-612086,-455705,0,0,0,228,297,232,253,195,302,320,263,283,168,232,136,0,
2,1775671632976,1105,1258,9882,425162,-109955,-57421,0,0,0,429,499,349,441,412,485,558,478,349,237,205,392,0,
1,1775671632992,-5508,2885,12074,-6550918,-1171639,-788016,0,0,0,230,297,233,255,196,303,323,264,285,168,231,137,0,
2,1775671632992,1048,1182,9901,433714,-117286,-70860,0,0,0,436,503,346,449,419,482,556,462,346,241,193,401,0,
1,1775671633008,-5130,2211,14089,-6698748,-1518610,-1164309,0,0,0,232,298,234,255,197,304,321,265,285,168,231,136,0,
2,1775671633008,985,1081,9906,436157,-113620,-75747,0,0,0,446,510,347,457,428,493,555,455,351,241,186,413,0,
1,1775671633024,-5675,1497,16592,-6775717,-1705535,-1473406,0,0,0,230,299,234,254,197,303,320,264,285,169,229,135,0,
2,1775671633024,952,1014,9968,445931,-103847,-78190,0,0,0,449,514,350,454,429,496,552,439,358,240,180,429,0,
1,1775671633040,-6245,995,19248,-6811147,-1938886,-1591914,0,0,0,228,298,233,254,197,305,320,264,286,168,225,134,0,
2,1775671633040,1019,976,10059,476474,-86742,-86742,0,0,0,456,519,353,461,438,501,548,416,356,244,176,448,0,
1,1775671633056,-6389,344,22445,-6869790,-2142915,-1678657,0,0,0,229,299,233,255,195,305,321,264,284,168,228,133,0,
2,1775671633056,1148,899,10117,520457,-78190,-109955,0,0,0,465,522,354,466,446,506,545,393,360,244,169,461,0,
1,1775671633072,-6657,-626,25900,-6888116,-2225992,-1897347,0,0,0,231,301,234,258,197,306,322,264,286,164,223,131,0,
2,1775671633072,1162,808,10141,568104,-73303,-140499,0,0,0,477,528,351,474,459,510,533,364,360,248,168,475,0,
1,1775671633088,-7221,-2512,29303,-6768386,-2228436,-2390926,0,0,0,241,297,233,266,197,305,327,263,289,175,220,129,0,
2,1775671633088,1172,756,10208,626747,-50090,-178372,0,0,0,485,535,348,483,465,510,527,335,365,256,165,496,0,
1,1775671633104,-7398,-7130,32127,-6492275,-2519208,-3161838,0,0,0,234,299,235,261,194,307,323,256,288,178,218,129,0,
2,1775671633104,1320,655,10471,722042,-3665,-226020,0,0,0,490,538,353,489,475,521,520,306,375,264,169,519,0,
