feature,surface,count,mean,std,min,25%,50%,75%,max,anova_F
gu_participation_ff,hard,9757.0,0.9019983080288393,0.08062611658163506,0.3629117377214441,0.8607531664642284,0.9220794709780376,0.9663322665511408,0.9853316087293656,12.97
gu_participation_ff,soft,3396.0,0.8963999228171796,0.07001513049298778,0.4402840224238574,0.8470804518878631,0.9007551631503272,0.9594331654645899,0.9831397084702046,12.97
slope_asym,ALL,13153.0,0.9601317182375977,4.8193899284802075,-106.0,-0.5135135135135135,0.2580645161290322,1.2142857142857142,77.80357142857143,12.22
slope_asym,hard,9757.0,1.0467563569945095,4.847471792686888,-106.0,-0.4714285714285714,0.2543859649122806,1.1612903225806452,77.80357142857143,12.22
slope_asym,soft,3396.0,0.7112516827984956,4.729666787346035,-70.73770491803279,-0.6581113801452785,0.2707283554741182,1.3233887733887735,59.94594594594594,12.22
gu_spatial_entropy_ff,ALL,13153.0,0.9764161904308359,0.02091240586329779,0.7835592606543679,0.9661838628502292,0.9809074707792612,0.9927018291039048,0.9970978711427522,9.34
gu_spatial_entropy_ff,hard,9757.0,0.9767448436423886,0.021663926613277977,0.7835592606543679,0.967602414928718,0.9824420276257292,0.9930494278050914,0.9970978711427522,9.34
gu_spatial_entropy_ff,soft,3396.0,0.9754719414952886,0.018555523871394457,0.8223965693818039,0.962937025634354,0.9777752514821592,0.9916795311382581,0.99656161845225,9.34
heel_skew,ALL,13153.0,0.8902443472723076,0.19414734184712212,0.0364896190172998,0.7618299490274197,0.9005339218582166,1.0208362641966977,1.8822723649198048,2.64
heel_skew,hard,9757.0,0.8918668392532998,0.18753561468361385,0.0364896190172998,0.7715282842800194,0.9053629412490788,1.018261116963346,1.8822723649198048,2.64
heel_skew,soft,3396.0,0.8855827883033617,0.21195956147381398,0.1167592579549231,0.7326360539788201,0.8857527436545807,1.031995831221126,1.7990676831164665,2.64
time_to_peak_frac,ALL,13153.0,0.429739192347355,0.4900047036628797,0.0,0.0,0.0172413793103448,1.0,1.0,2.56
time_to_peak_frac,hard,9757.0,0.4257083348326234,0.48921161139087577,0.0,0.0,0.0172413793103448,1.0,1.0,2.56
time_to_peak_frac,soft,3396.0,0.44132019257445687,0.4921647803615063,0.0,0.0,0.0166666666666666,1.0,1.0,2.56
gyro_y_std,ALL,13153.0,1122295.182310737,251220.55459655428,423614.47350803926,918146.8781725842,1119314.678089177,1321454.142288996,2480022.484206973,2.5
gyro_y_std,hard,9757.0,1124337.639005452,265030.5723727618,433967.6414623339,899111.8908091336,1115266.879481002,1343243.0836130553,2480022.484206973,2.5
gyro_y_std,soft,3396.0,1116427.0286092255,206389.20192499788,423614.47350803926,982224.8543688175,1124554.6438221037,1255554.7787280916,1928876.014066605,2.5
rise_slope,ALL,13153.0,1.7368467348030054,3.9968160185635493,0.0,0.0,0.3492063492063492,1.34375,78.0,2.09
rise_slope,hard,9757.0,1.7665470829353267,4.104199604274797,0.0,0.0,0.3387096774193548,1.2857142857142858,78.0,2.09
rise_slope,soft,3396.0,1.6515150808786652,3.670095518980915,0.0,0.0,0.38583959899749365,1.5326839826839826,60.0,2.09
impact_mag_roll3_std,ALL,13153.0,2135.9361550941458,3227.700537574971,0.0,747.2819637414966,1299.973461267586,2170.3956628535084,27455.83104430336,1.68
impact_mag_roll3_std,hard,9757.0,2114.385236090892,3277.702996115423,0.0,728.9186054240577,1264.229936891701,2105.5642949100384,26520.681231823582,1.68
impact_mag_roll3_std,soft,3396.0,2197.853798414155,3079.154933255244,0.0,817.029391646337,1393.6029925215396,2408.1924685632544,27455.83104430336,1.68
midstance_diff,ALL,13153.0,-1.0324336653235004,16.836745916670726,-120.89999999999998,-6.900000000000006,0.0,6.0,98.6,1.37
midstance_diff,hard,9757.0,-1.1338218714768882,17.36184622274486,-120.89999999999998,-6.099999999999994,0.0,5.600000000000001,98.6,1.37
midstance_diff,soft,3396.0,-0.7411366313309775,15.226332156220266,-97.4,-8.600000000000001,-0.10000000000001205,7.300000000000011,78.4,1.37
gu_fore_heel_toff,ALL,13153.0,-0.05566182619934617,0.48222688271017616,-0.9,-0.6,0.32,0.36,0.98,1.01
gu_fore_heel_toff,hard,9757.0,-0.05316798196166855,0.48152682053312396,-0.9,-0.6,0.32,0.36,0.98,1.01
gu_fore_heel_toff,soft,3396.0,-0.06282685512367492,0.48423222018017587,-0.7,-0.6,0.34,0.36,0.5,1.01
