step,predicted_ground_type,prob_Brick,prob_Concrete,prob_Grass,contact_time_sec,loading_rate,midstance_pressure,time_to_midstance,step_duration,stance_auc
121,Brick,0.465,0.345,0.19,138.112,1199.9999999996958,1882.0,0.0,70,3838.2559999999353
122,Brick,0.41,0.39,0.2,139.248,1184.0277777774738,1739.0,0.0,69,3791.0479999999716
123,Concrete,0.385,0.395,0.22,140.352,1609.374999999865,1774.0,0.0,70,3902.864000000058
124,Brick,0.43,0.395,0.175,141.472,1062.500000000158,1730.0,0.0,68,3790.8560000000098
125,Brick,0.45,0.33,0.22,142.56,1076.4508928572227,1731.0,0.0,71,3954.2400000000216
126,Concrete,0.37,0.38,0.25,143.68,1078.1250000000423,1670.0,0.0,69,3777.3440000000905
127,Concrete,0.355,0.4,0.245,144.768,1164.5833333332018,1986.0,0.0,71,3892.6880000000156
128,Brick,0.385,0.365,0.25,145.904,1374.9999999997851,1958.0,0.0,70,3849.376000000058
129,Brick,0.45,0.355,0.195,147.056,1206.4732142858256,1825.0,0.0,70,3860.3279999999368
130,Brick,0.425,0.365,0.21,148.176,784.3749999999292,1861.0,0.0,70,3852.271999999934
131,Brick,0.4,0.38,0.22,149.28,,2054.0,0.0,71,3926.2799999999
132,Brick,0.41,0.4,0.19,150.432,,1901.0,0.0,69,3846.2559999999694
133,Concrete,0.395,0.415,0.19,151.536,826.0416666666549,1960.0,0.0,71,3944.224000000023
134,Brick,0.43,0.39,0.18,152.656,994.791666666629,1891.0,0.0,70,3847.784000000055
135,Brick,0.405,0.38,0.215,153.776,1035.1562500000437,1928.0,0.0,71,3939.1760000000204
136,Concrete,0.345,0.41,0.245,154.912,1151.0416666667156,1934.0,0.0,72,3999.1440000001003
137,Concrete,0.335,0.425,0.24,156.08,1843.750000000203,1803.0,0.0,71,4008.6720000000223
138,Concrete,0.385,0.41,0.205,157.2,997.7678571427431,1988.0,0.0,71,3931.640000000015
139,Concrete,0.365,0.405,0.23,158.352,1060.4166666666497,1915.0,0.0,71,3988.272000000022
140,Concrete,0.36,0.425,0.215,159.472,1667.1875000002492,1766.0,0.0,70,3901.6800000000526
141,Concrete,0.355,0.44,0.205,160.592,1056.2500000001685,1902.0,0.0,71,3917.0480000000216
142,Concrete,0.33,0.43,0.24,161.728,1114.2857142858654,1929.0,0.0,70,3867.3280000000523
143,Concrete,0.375,0.385,0.24,162.864,969.5312500000709,1724.0,0.0,71,3897.1200000000226
144,Concrete,0.325,0.445,0.23,163.984,,1846.0,0.0,70,3845.3200000000525
145,Concrete,0.355,0.435,0.21,165.104,1073.611111111308,1772.0,0.0,69,3795.479999999978
146,Concrete,0.375,0.4,0.225,166.224,1046.8749999999604,1910.0,0.0,71,3939.992000000016
147,Concrete,0.365,0.425,0.21,167.36,1096.0937499999775,1813.0,0.0,70,3868.7599999999397
148,Concrete,0.39,0.435,0.175,168.448,1625.0000000006842,1992.0,0.0,68,3766.0480000000102
149,Concrete,0.355,0.415,0.23,169.536,1049.8511904761863,2000.0,0.0,71,3964.592000000022
150,Concrete,0.38,0.415,0.205,170.704,1645.8333333334099,1809.0,0.0,71,3931.672000000016
151,Brick,0.39,0.39,0.22,171.824,1022.1354166667061,1794.0,0.0,69,3825.023999999977
152,Concrete,0.35,0.405,0.245,172.944,1244.4444444443063,1738.0,0.0,71,3947.128000000017
153,Concrete,0.36,0.395,0.245,174.064,1339.0624999998145,1765.0,0.0,71,3930.400000000019
154,Concrete,0.31,0.42,0.27,175.216,1898.4375000002092,1796.0,0.0,71,3937.680000000013
155,Concrete,0.35,0.395,0.255,176.352,1413.1944444446056,1884.0,0.0,73,4095.5360000000674
156,Concrete,0.345,0.42,0.235,177.504,1421.8749999996362,1822.0,0.0,71,3938.1680000000156
157,Concrete,0.35,0.445,0.205,178.656,2132.8125000002346,1798.0,0.0,69,3875.8079999999745
158,Concrete,0.345,0.415,0.24,179.776,915.2777777778658,1804.0,0.0,73,4095.127999999942
