sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,compact ground
1,1778968591152,-1210,-4843,19913,1611462,642630,164933,0,0,0,470,385,452,336,261,372,686,702,379,677,701,348,0,
2,1778968591152,765,-526,13457,1802052,-302989,-502131,0,0,0,652,612,308,520,624,546,413,234,351,341,381,557,0,
1,1778968591168,148,306,13481,1001818,350636,-208915,0,0,0,472,404,467,349,282,391,694,714,376,673,706,369,0,
2,1778968591168,598,-402,15013,2455678,-349414,-485026,0,0,0,683,588,287,523,611,529,363,225,352,339,360,576,0,
1,1778968591184,579,1660,10533,818559,-54977,-150272,0,0,0,487,420,473,367,299,397,702,713,375,688,701,412,0,
2,1778968591184,320,-301,15630,3246137,-309097,-480140,0,0,0,700,583,296,513,589,538,299,228,359,312,330,570,0,
1,1778968591200,-325,737,10681,733038,-382401,-42760,0,0,0,494,430,480,375,310,402,710,706,407,697,704,440,0,
2,1778968591200,301,-497,15573,4080579,-194255,-475253,0,0,0,684,575,270,507,579,530,241,189,351,297,264,556,0,
1,1778968591216,-942,569,10993,713490,-493579,-31764,0,0,0,509,446,481,384,322,417,708,679,422,681,691,459,0,
2,1778968591216,1756,-1043,16487,4933347,-208915,-533896,0,0,0,664,578,272,517,571,531,200,155,339,296,212,533,0,
1,1778968591232,-1057,995,10945,818559,-434936,-41538,0,0,0,529,456,483,394,340,420,698,653,429,655,672,465,0,
2,1778968591232,3469,-1091,18602,5738468,-310319,-739146,0,0,0,619,556,285,513,560,522,180,159,344,292,211,484,0,
1,1778968591248,-966,1091,10701,965167,-356745,-6108,0,0,0,526,463,487,402,345,432,696,628,425,631,647,476,0,
2,1778968591248,5809,-1445,22464,6734178,-544891,-1163087,0,0,0,533,515,285,481,507,507,189,151,365,276,212,416,0,
1,1778968591264,-938,827,10457,1049466,-310319,36651,0,0,0,533,474,468,424,358,428,684,583,439,612,604,479,0,
2,1778968591264,7910,-1957,28006,7688349,-796568,-1698205,0,0,0,461,443,259,411,401,443,214,143,331,262,215,357,0,
