time_utc,lat,lon,ele,elapsed_s,total_pressure,total_pressure_R,total_pressure_L,p_norm
2026-04-24 19:10:40+00:00,42.33777495101094,-71.09117955900729,3.799999952316284,92.0,3478.5,2646.0,4311.0,0.02759571775878966
2026-04-24 19:10:41+00:00,42.337765730917454,-71.09117075800896,3.799999952316284,93.0,3872.0,4302.0,3442.0,0.5870452251304441
2026-04-24 19:10:42+00:00,42.337764389812946,-71.09116472303867,3.799999952316284,94.0,3655.0,4194.0,3116.0,0.27853050314912514
2026-04-24 19:10:43+00:00,42.33776229433715,-71.09115944243968,4.0,95.0,3489.5,3977.0,3002.0,0.04323471288226666
2026-04-24 19:10:44+00:00,42.3377650603652,-71.09114913269877,4.0,96.0,3488.0,3740.0,3236.0,0.04110212263815616
2026-04-24 19:10:45+00:00,42.33776816166937,-71.0911446902901,4.0,97.0,3642.5,2851.0,4434.0,0.26075891778153765
2026-04-24 19:10:46+00:00,42.33777235262096,-71.09114049933851,3.799999952316284,98.0,3553.5,2860.0,4247.0,0.13422522996431466
2026-04-24 19:10:47+00:00,42.33778199180961,-71.0911407507956,3.799999952316284,99.0,3522.5,2788.0,4257.0,0.09015169825269766
2026-04-24 19:10:48+00:00,42.337792217731476,-71.09114209190011,3.799999952316284,100.0,3576.5,3202.0,3951.0,0.16692494704067565
2026-04-24 19:10:49+00:00,42.33780772425234,-71.09114209190011,3.799999952316284,101.0,3703.5,4263.0,3144.0,0.3474842543753646
2026-04-24 19:10:50+00:00,42.33782649971545,-71.09114066697657,3.799999952316284,102.0,3526.5,4028.0,3025.0,0.09583860557032566
2026-04-24 19:10:51+00:00,42.33784183859825,-71.09113907441497,4.0,103.0,3680.0,4294.0,3066.0,0.31407367388430013
2026-04-24 19:10:52+00:00,42.337860530242324,-71.09115164726973,4.0,104.0,3647.5,4235.0,3060.0,0.26786755192857264
2026-04-24 19:10:53+00:00,42.33787938952446,-71.09114846214652,4.0,105.0,3632.0,3028.0,4236.0,0.24583078607276412
2026-04-24 19:10:54+00:00,42.33790805563331,-71.09113505110145,4.0,106.0,3615.0,2819.0,4411.0,0.22166142997284513
2026-04-24 19:10:55+00:00,42.33793546445668,-71.09113505110145,4.0,107.0,3571.5,2836.0,4307.0,0.15981631289364065
2026-04-24 19:10:56+00:00,42.33795457519591,-71.09113119542599,4.0,108.0,3520.5,2780.0,4261.0,0.08730824459388366
2026-04-24 19:10:57+00:00,42.33797745779157,-71.09113563783467,4.0,109.0,3457.0,2827.0,4087.0,0.0
2026-04-24 19:10:58+00:00,42.338007129728794,-71.09113438054919,4.0,110.0,3805.0,4310.0,3300.0,0.4917895275601751
2026-04-24 19:10:59+00:00,42.3380293417722,-71.09113781712949,4.199999809265137,111.0,3626.5,4141.0,3112.0,0.23801128851102563
2026-04-24 19:11:00+00:00,42.338052140548825,-71.09114686958492,4.199999809265137,112.0,3612.0,4195.0,3029.0,0.21739624948462413
2026-04-24 19:11:01+00:00,42.33807527460158,-71.09114527702332,4.199999809265137,113.0,3646.5,4252.0,3041.0,0.26644582509916565
2026-04-24 19:11:02+00:00,42.33809773810208,-71.0911494679749,4.199999809265137,114.0,3774.0,3813.0,3735.0,0.4477159958485581
2026-04-24 19:11:03+00:00,42.33810377307236,-71.09114519320428,4.199999809265137,115.0,3713.5,2912.0,4515.0,0.3617015226694346
2026-04-24 19:11:04+00:00,42.33811383135617,-71.09114569611847,4.199999809265137,116.0,3561.0,2827.0,4295.0,0.14488818118486715
2026-04-24 19:11:05+00:00,42.33812749385834,-71.09115223400295,4.199999809265137,117.0,3524.0,2826.0,4222.0,0.09228428849680816
2026-04-24 19:11:06+00:00,42.338149789720774,-71.09115784987807,4.199999809265137,118.0,3673.5,2942.0,4405.0,0.30483244949315463
2026-04-24 19:11:07+00:00,42.33816563151777,-71.09116279520094,4.199999809265137,119.0,3599.0,3150.0,4048.0,0.19891380070233314
2026-04-24 19:11:08+00:00,42.338194381445646,-71.09117989428341,4.199999809265137,120.0,3844.5,4299.0,3390.0,0.5479477373217516
2026-04-24 19:11:09+00:00,42.33821994625032,-71.09119003638625,4.199999809265137,121.0,3706.0,4271.0,3141.0,0.3510385714488821
2026-04-24 19:11:10+00:00,42.338244672864676,-71.09119766391814,4.199999809265137,122.0,3637.0,4200.0,3074.0,0.25293942021979915
2026-04-24 19:11:11+00:00,42.338265627622604,-71.09120755456388,4.199999809265137,123.0,3624.5,4157.0,3092.0,0.23516783485221163
2026-04-24 19:11:12+00:00,42.3382867500186,-71.09122046269476,4.199999809265137,124.0,3741.5,3106.0,4377.0,0.4015098738928306
2026-04-24 19:11:13+00:00,42.338311057537794,-71.09123169444501,4.199999809265137,125.0,3602.0,2878.0,4326.0,0.20317898119055414
2026-04-24 19:11:14+00:00,42.33832689933479,-71.09123513102531,4.199999809265137,126.0,3457.0,2737.0,4177.0,0.0
2026-04-24 19:11:15+00:00,42.33833561651409,-71.0912414174527,4.199999809265137,127.0,3544.0,2732.0,4356.0,0.12071882508494815
2026-04-24 19:11:16+00:00,42.338357074186206,-71.09124493785203,4.199999809265137,128.0,3828.5,4018.0,3639.0,0.5252001080512396
2026-04-24 19:11:17+00:00,42.33837543055415,-71.09125013463199,4.199999809265137,129.0,3585.0,4010.0,3160.0,0.17900962509063514
2026-04-24 19:11:18+00:00,42.338400995358825,-71.09124795533717,4.199999809265137,130.0,3573.5,4073.0,3074.0,0.16265976655245465
2026-04-24 19:11:19+00:00,42.338414657860994,-71.09125616960227,4.199999809265137,131.0,3673.0,4295.0,3051.0,0.30412158607845113
2026-04-24 19:11:20+00:00,42.33843888156116,-71.0912720952183,4.0,132.0,3634.0,3665.0,3603.0,0.24867423973157812
2026-04-24 19:11:21+00:00,42.3384453356266,-71.09128039330244,4.0,133.0,3670.0,2834.0,4506.0,0.29985640559023014
2026-04-24 19:11:22+00:00,42.33844466507435,-71.09128617681563,4.0,134.0,3579.0,2797.0,4361.0,0.17047926411419315
2026-04-24 19:11:23+00:00,42.338450867682695,-71.09129648655653,4.0,135.0,3586.5,2837.0,4336.0,0.18114221533474564
2026-04-24 19:11:24+00:00,42.33846084214747,-71.09130092896521,3.799999952316284,136.0,3530.0,2703.0,4357.0,0.10081464947325015
2026-04-24 19:11:25+00:00,42.338474756106734,-71.09130864031613,3.799999952316284,137.0,3769.0,4135.0,3403.0,0.4406073617015231
2026-04-24 19:11:26+00:00,42.33848766423762,-71.09131635166705,3.799999952316284,138.0,3592.0,4072.0,3112.0,0.18896171289648414
2026-04-24 19:11:27+00:00,42.33849864453077,-71.09132959507406,3.799999952316284,139.0,3584.5,4071.0,3098.0,0.17829876167593164
2026-04-24 19:11:28+00:00,42.33850618824363,-71.09133906662464,3.799999952316284,140.0,3713.0,4360.0,3066.0,0.3609906592547311
2026-04-24 19:11:29+00:00,42.33851817436516,-71.09135088510811,3.799999952316284,141.0,3658.0,4292.0,3024.0,0.28279568363734614
2026-04-24 19:11:30+00:00,42.33852747827768,-71.09135373495519,3.799999952316284,142.0,3725.5,3127.0,4324.0,0.3787622446223186
2026-04-24 19:11:31+00:00,42.33854005113244,-71.09136119484901,3.799999952316284,143.0,3671.0,2831.0,4511.0,0.30127813241963713
2026-04-24 19:11:32+00:00,42.33855572529137,-71.09137485735118,3.799999952316284,144.0,3602.0,2824.0,4380.0,0.20317898119055414
2026-04-24 19:11:33+00:00,42.338573494926095,-71.09138139523566,3.799999952316284,145.0,3540.0,2782.0,4298.0,0.11503191776732015
2026-04-24 19:11:34+00:00,42.338589588180184,-71.09138743020594,3.799999952316284,146.0,3748.0,3320.0,4176.0,0.4107510982839761
2026-04-24 19:11:35+00:00,42.33859905973077,-71.09139371663332,3.799999952316284,147.0,3725.5,4277.0,3174.0,0.3787622446223186
2026-04-24 19:11:36+00:00,42.33861045911908,-71.09138793312013,3.799999952316284,148.0,3630.0,4151.0,3109.0,0.24298733241395012
2026-04-24 19:11:37+00:00,42.33862009830773,-71.09137644991279,4.0,149.0,3701.5,4364.0,3039.0,0.3446408007165506
2026-04-24 19:11:38+00:00,42.338640885427594,-71.09136773273349,4.0,150.0,3684.5,4304.0,3065.0,0.32047144461663163
2026-04-24 19:11:39+00:00,42.33865044079721,-71.09137519262731,4.0,151.0,3762.0,3147.0,4377.0,0.4306552738956741
2026-04-24 19:11:40+00:00,42.33866007998586,-71.09137745574117,4.0,152.0,3676.5,2808.0,4545.0,0.30909762998137563
2026-04-24 19:11:41+00:00,42.338670222088695,-71.09138525091112,4.0,153.0,3483.0,2757.0,4209.0,0.03399348849112116
2026-04-24 19:11:42+00:00,42.33867206610739,-71.09139522537589,4.0,154.0,3528.5,2761.0,4296.0,0.09868205922913965
2026-04-24 19:11:43+00:00,42.338681537657976,-71.09140193089843,4.0,155.0,3850.5,3904.0,3797.0,0.5564780982981936
2026-04-24 19:11:44+00:00,42.33868799172342,-71.09141659922898,4.0,156.0,3710.0,4289.0,3131.0,0.3567254787665101
2026-04-24 19:11:45+00:00,42.33870266005397,-71.09142623841763,4.0,157.0,3600.5,4127.0,3074.0,0.20104639094644364
2026-04-24 19:11:46+00:00,42.338716238737106,-71.09143353067338,4.0,158.0,3625.5,4217.0,3034.0,0.23658956168161863
2026-04-24 19:11:47+00:00,42.338731829077005,-71.09143705107272,4.0,159.0,3620.5,3875.0,3366.0,0.22948092753458363
2026-04-24 19:11:48+00:00,42.33874297700822,-71.0914486180991,4.0,160.0,3711.0,2902.0,4520.0,0.3581472055959171
2026-04-24 19:11:49+00:00,42.33873954042792,-71.09145892784,4.0,161.0,3640.0,2844.0,4436.0,0.25720460070802015
2026-04-24 19:11:50+00:00,42.3387267999351,-71.09146798029542,4.0,162.0,3522.5,2802.0,4243.0,0.09015169825269766
2026-04-24 19:11:51+00:00,42.33873878605664,-71.09149128198624,4.0,163.0,3568.5,2739.0,4398.0,0.15555113240541965
2026-04-24 19:11:52+00:00,42.33873954042792,-71.09151156619191,4.0,164.0,3834.5,4004.0,3665.0,0.5337304690276816
2026-04-24 19:11:53+00:00,42.338740630075336,-71.09153059311211,4.0,165.0,3675.5,4217.0,3134.0,0.30767590315196863
2026-04-24 19:11:54+00:00,42.3387426417321,-71.09155003912747,4.0,166.0,3587.5,4053.0,3122.0,0.18256394216415264
2026-04-24 19:11:55+00:00,42.338743479922414,-71.09156621620059,4.0,167.0,3688.5,4319.0,3058.0,0.3261583519342596
2026-04-24 19:11:56+00:00,42.33874037861824,-71.0915828961879,4.0,168.0,3561.0,4131.0,2991.0,0.14488818118486715
2026-04-24 19:11:57+00:00,42.33873836696148,-71.09160024672747,4.199999809265137,169.0,3701.0,2921.0,4481.0,0.3439299373018471
2026-04-24 19:11:58+00:00,42.33873258344829,-71.09161717817187,4.199999809265137,170.0,3672.0,2878.0,4466.0,0.30269985924904413
2026-04-24 19:11:59+00:00,42.338736187666655,-71.09163612127304,4.199999809265137,171.0,3553.0,2907.0,4199.0,0.13351436654961116
2026-04-24 19:12:00+00:00,42.33873291872442,-71.09165565110743,4.199999809265137,172.0,3595.0,2822.0,4368.0,0.19322689338470514
2026-04-24 19:12:01+00:00,42.33872948214412,-71.09166914597154,4.199999809265137,173.0,3802.5,3757.0,3848.0,0.4882352104866576
2026-04-24 19:12:02+00:00,42.33872713521123,-71.09168632887304,4.199999809265137,174.0,3703.5,4222.0,3185.0,0.3474842543753646
2026-04-24 19:12:03+00:00,42.338729817420244,-71.09170996583998,4.199999809265137,175.0,3629.0,4155.0,3103.0,0.24156560558454312
2026-04-24 19:12:04+00:00,42.33873057179153,-71.09172413125634,4.199999809265137,176.0,3641.5,4201.0,3082.0,0.25933719095213065
2026-04-24 19:12:05+00:00,42.3387339245528,-71.09174575656652,4.199999809265137,177.0,3749.0,3352.0,4146.0,0.4121728251133831
2026-04-24 19:12:06+00:00,42.338743479922414,-71.09176377765834,4.199999809265137,178.0,3722.5,2938.0,4507.0,0.3744970641340976
2026-04-24 19:12:07+00:00,42.33875487931073,-71.09178045764565,4.199999809265137,179.0,3578.0,2895.0,4261.0,0.16905753728478615
2026-04-24 19:12:08+00:00,42.338766446337104,-71.09179772436619,4.199999809265137,180.0,3621.5,2818.0,4425.0,0.23090265436399063
2026-04-24 19:12:09+00:00,42.33876627869904,-71.09181767329574,4.199999809265137,181.0,3743.5,3360.0,4127.0,0.4043533275516446
2026-04-24 19:12:10+00:00,42.338775247335434,-71.09182303771377,4.400000095367432,182.0,3789.5,4336.0,3243.0,0.4697527617043666
2026-04-24 19:12:11+00:00,42.3387838806957,-71.09183016233146,4.400000095367432,183.0,3638.5,4136.0,3141.0,0.25507201046390965
2026-04-24 19:12:12+00:00,42.338799219578505,-71.09184298664331,4.400000095367432,184.0,3600.0,4138.0,3062.0,0.20033552753174014
2026-04-24 19:12:13+00:00,42.338811876252294,-71.09185664914548,4.400000095367432,185.0,3574.5,4105.0,3044.0,0.16408149338186165
2026-04-24 19:12:14+00:00,42.33882587403059,-71.09187408350408,4.400000095367432,186.0,3744.5,2985.0,4504.0,0.4057750543810516
2026-04-24 19:12:15+00:00,42.33883853070438,-71.09188456088305,4.400000095367432,187.0,3727.0,2974.0,4480.0,0.3808948348664291
2026-04-24 19:12:16+00:00,42.338852444663644,-71.0918955411762,4.199999809265137,188.0,3616.5,2945.0,4288.0,0.22379402021695563
2026-04-24 19:12:17+00:00,42.33886593952775,-71.09190442599356,4.199999809265137,189.0,3547.0,2719.0,4375.0,0.12498400557316915
2026-04-24 19:12:18+00:00,42.33887683600187,-71.09191532246768,4.199999809265137,190.0,3824.5,4129.0,3520.0,0.5195132007336116
2026-04-24 19:12:19+00:00,42.33888169750571,-71.09192756004632,4.0,191.0,3619.5,4123.0,3116.0,0.22805920070517663
2026-04-24 19:12:20+00:00,42.338892593979836,-71.09193552285433,3.799999952316284,192.0,3597.5,4079.0,3116.0,0.19678121045822264
2026-04-24 19:12:21+00:00,42.338905753567815,-71.0919454973191,3.799999952316284,193.0,3718.5,4345.0,3092.0,0.3688101568164696
2026-04-24 19:12:22+00:00,42.33891732059419,-71.09195563942194,3.799999952316284,194.0,3623.0,3590.0,3656.0,0.23303524460810113
2026-04-24 19:12:23+00:00,42.338935593143106,-71.09196209348738,3.799999952316284,195.0,3700.5,2881.0,4520.0,0.3432190738871436
2026-04-24 19:12:24+00:00,42.33895529061556,-71.09196905046701,3.799999952316284,196.0,3642.5,2881.0,4404.0,0.26075891778153765
2026-04-24 19:12:25+00:00,42.33896803110838,-71.09197885729373,3.799999952316284,197.0,3512.5,2800.0,4225.0,0.07593442995862765
2026-04-24 19:12:26+00:00,42.33898311853409,-71.09198665246367,3.799999952316284,198.0,3584.5,2750.0,4419.0,0.17829876167593164
2026-04-24 19:12:27+00:00,42.338996697217226,-71.09199486672878,3.799999952316284,199.0,3834.5,3806.0,3863.0,0.5337304690276816
