step,ground_type,predicted_ground_type,contact_time_sec,midstance_time_sec,loading_rate,midstance_pressure
99,Brick,Brick,137.528,137.528,1364.5833333332816,2112.0
108,Concrete,Concrete,138.52,138.52,1431.2500000000819,2246.0
100,Brick,Brick,138.616,138.616,1241.0037878787898,2295.0
109,Concrete,Concrete,139.624,139.624,1223.958333333345,2340.0
101,Brick,Brick,139.736,139.736,1298.295454545277,2190.0
110,Concrete,Concrete,140.728,140.728,2296.875000000253,2244.0
102,Brick,Brick,140.84,140.84,986.1111111110738,2318.0
111,Concrete,Concrete,141.832,141.832,1831.249999999714,2150.0
103,Brick,Brick,141.976,141.976,1649.1071428568525,2199.0
112,Concrete,Concrete,142.936,142.936,973.9583333332224,2541.0
104,Brick,Brick,143.064,143.064,1174.999999999834,2418.0
113,Concrete,Concrete,144.104,144.104,1960.9375000003188,2067.0
105,Brick,Brick,144.168,144.168,822.916666666728,2343.0
114,Concrete,Concrete,145.224,145.224,1456.2500000002426,2352.0
115,Concrete,Concrete,146.36,146.36,1279.0178571429515,2308.0
116,Concrete,Concrete,147.496,147.496,936.458333333408,2176.0
117,Concrete,Concrete,148.584,148.584,2121.093750000858,2325.0
118,Concrete,Concrete,149.672,149.672,997.159090909073,2234.0
119,Concrete,Concrete,150.792,150.792,2304.6875000000873,2120.0
121,Concrete,Concrete,161.472,161.472,1364.5833333332816,2152.0
122,Concrete,Concrete,162.608,162.608,1602.3437500002638,2216.0
123,Concrete,Concrete,163.744,163.744,1705.7291666667327,2090.0
124,Concrete,Concrete,164.848,164.848,2195.312500000242,2280.0
125,Concrete,Concrete,165.952,165.952,1261.1607142857215,2284.0
126,Concrete,Concrete,167.04,167.04,1463.541666666611,2344.0
127,Concrete,Concrete,168.128,168.128,2512.5000000007176,2239.0
128,Concrete,Concrete,169.2,169.2,1509.821428571517,2385.0
129,Concrete,Concrete,170.288,170.288,1449.3055555557198,2288.0
130,Concrete,Concrete,171.408,171.408,1832.8124999995457,2031.0
131,Concrete,Concrete,172.496,172.496,849.4318181818774,2179.0
132,Concrete,Concrete,173.6,173.6,1273.0654761904664,2286.0
133,Concrete,Concrete,174.688,174.688,1799.9999999997187,2217.0
134,Concrete,Concrete,175.776,175.776,1494.7916666666101,2317.0
135,Concrete,Concrete,176.864,176.864,1671.8750000003806,2256.0
136,Concrete,Concrete,177.952,177.952,1421.4285714284842,2355.0
137,Concrete,Concrete,179.072,179.072,1812.5000000003606,2152.0
138,Concrete,Concrete,180.192,180.192,1776.562499999949,2102.0
139,Concrete,Concrete,181.296,181.296,1562.4999999997558,2208.0
140,Concrete,Concrete,182.384,182.384,1349.9999999998777,2351.0
141,Concrete,Concrete,183.52,183.52,1732.2916666668498,2352.0
142,Concrete,Concrete,184.656,184.656,1505.208333333378,2200.0
143,Concrete,Concrete,185.792,185.792,1272.135416666685,2222.0
144,Concrete,Concrete,186.928,186.928,1657.2916666664846,2094.0
145,Concrete,Concrete,188.032,188.032,996.3474025974596,2191.0
146,Concrete,Concrete,189.168,189.168,1606.250000000179,2171.0
147,Concrete,Concrete,190.288,190.288,1221.0227272729246,2203.0
148,Concrete,Concrete,191.44,191.44,1687.4999999997362,2147.0
149,Concrete,Concrete,192.608,192.608,1188.8020833335436,2202.0
